message,score,sentiment
"So far, at least five people have died from the heat.",-0.5574,1
Mexico sweeps the 2019 Pan American Games in Lima with 136 medals; they achieve the third place of the medallero,0.0,2
We already missed the humor of our president!,-0.1007,1
Not even Goku expected it.,0.0,2
#ALERT,0.0,2
Dogs waiting to be adopted suffer discrimination,-0.5423,1
"In Japan, separating garbage goes beyond organic and inorganic.",0.0,2
"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart.",0.6808,3
"#MilenioAlMomento | In no civilized country on Earth will you find a president like #AMLO. Unfortunately, only in Mexico can something like this happen. The opinion of Diego Fernández de Cevallos",0.1027,3
A work of Vanessa Job with #AzucenaxMILENIO,0.0,2
"Amaranth and nopal are foods of the future, Mexican students are already working on these projects.",0.0,2
The stone animals and the game of cubes were creations of artists such as Barragan and Goeritz.,0.3818,3
"Only 20 Mexican families struggle to prevent the disappearance of Xiquilite, a pre-Hispanic plant threatened by climate change and synthetic colors. In Oaxaca, they take care of this “Blue Gold”.",-0.25,1
This is the time when women destroyed a police station and metrobus in Mexico City:,-0.4939,1
The president said that people pay and pay and never give him their deeds,-0.2023,1
There is high hope that this species will survive,0.4404,3
The ability and incredible talent of these women have highlighted them as the best on the drums.,0.8519,3
When you sing the two parts of the song on Snapchat,0.0,2
"In Holbox, ""trucks arrive at night, when there are no people on the beach."" There, sand is one of the most coveted resources. Nobody remembers when the robbery began, but it does happen ...",-0.1531,1
"At just 28 years old, Daniela SotoInnes is recognized as the best chef in the world, certainly a Mexican pride!",0.8516,3
"Luidwin, only 27 years old, wanted to cool off with very cold water without knowing that his action would have fatal consequences",-0.296,1
It is the first time that a gold medal is achieved in this apparatus in a Pan American Games.,0.4767,3
"If you want to end the hell of your Infonavit credit, you must know the plan that AMLO has just presented.",-0.4019,1
"Applause for this young man! The photo of a student who took advantage of his vacation to teach free math classes in a #Veracruz park is viralized. For this reason, he was offered work in the public library and a scholarship to finish his degree at #UNAM.",0.8122,3
"Stuart Hutchison and his dog Nero died the same day, 15 minutes apart",-0.5574,1
"First the Paketaxo and now the Maruchan, what's next, what's next?",0.0,2
#AzucenaxMILENIO,0.0,2
Shepherd tacos become the BEST dish in the world!,0.7371,3
"We have no proof, but no doubt, Chris Hemsworth is a like a real Norse god.",-0.1901,1
"Jubilan #Frida, the dog who became famous for her rescue efforts in the earthquakes of September 7 and 19, 2017",0.5106,3
"# LoMásVisto One of lime for two of sand! Three public transport thieves are arrested on Central Avenue in #Ecatepec, State of Mexico.",-0.7712,1
"With third place in the medal table, athletes say",0.4767,3
"It was easy for this young woman to throw her friend into the water to take away her fear, but today she faces justice for the damage she caused",0.3071,3
Be jealous! The law could punish them:,-0.7712,1
My faith in humanity has been restored. Thank you Yaqoob! Find us on YouTube,0.7901,3
"If you have information about them, notify the authorities and share so that more people can help you find them. #We are looking for you",0.6326,3
"they presume that it is the den of El Marro, the huachicolero leader of the Santa Rosa de Lima Cartel. In it, they found stables, a pool and even a party room. Information with #AzucenaxMILENIO",0.4019,3
Dante will live forever in their hearts; rest in peace,0.5423,3
"Leonardo Yishar Ortega Riquelme, only 4 years old, was last seen at the intersection of Santiago Street and Calzada de la Viga in the Santiago Sur neighborhood of Iztacalaco City Hall",0.0,2
"First gasoline, now Infonavit credits ...",0.3612,3
"Hot? Doña Lalita tells us how the flavored snows are made in Santiago Tulyehualco, Xochimilco",0.0,2
"#National | The Mexican math team, held high on behalf of Mexico, crowning itself as the absolute winners in the XXI Central American and Caribbean Mathematical Olympiad. Guillermo del Toro",0.4767,3
"# LoMásVisto2018 After his tragic death in a direct armed attack in Jalisco, followers of Juan Luis Lagunas, known as the ‘Pirate of Culiacán’, mocked him.",-0.9062,1
Living without generating garbage is possible. Gabriela adopted the Zero Waste movement as a lifestyle and we accompanied her to know her day to day. #AlAireConPaola with Paola Rojas,-0.4215,1
"Girl recites poem against the huachicol and goes viral ... What I assure you, woke up the entire Mexico, the theft of hydrocarbons, huachicoleros will die, said the little girl.",-0.3612,1
#Health,0.0,2
She showed the whole world that life is a carnival and that the best way to live it is with joy and music! #OUR,0.8516,3
"In 2017, the Awake with Loret team presented a special report that shows how the huachicoleros operated in the so-called Red Triangle, in Puebla.",0.4019,3
Everything was like being a child again. But be careful!,0.4482,3
#Video,0.0,2
Dafne Almazán Anaya at age 17 was admitted to Harvard University in the Master of Mathematics. For 100 years he had not entered a minor in the Master of Math for Teaching: he is the first Mexican with this condition.,0.1027,3
"Alert in the US for extreme cold! Freezing temperatures of up to 37 ℃ could break records, even higher than those in Antarctica or Everest.",0.2714,3
# Video The image of the young man who assaulted the reporter Juan Manuel Jiménez has been viralized in order to identify him and take responsibility for his actions,-0.5267,1
"#TrashtagChallenge, the new viral action that the environment would be grateful for",0.4588,3
"For all who say they like heat, there is its heat.",0.3612,3
The youtuber who tried to eat a live octopus ... but everything went wrong,-0.631,1
"In Coahuila, this practice, described as abusive, that had become normal could be punished in an exemplary manner",-0.802,1
"Don't do it, they also feel",0.0,2
Reporter does not understand the language of the kids and is ridiculous. Who do you know who also needs a neighborhood?,-0.3612,1
"Go taking out your savings, because LP arrives in Mexico",0.0,2
#Video A Harvard University research reveals the collective awareness of bees. Via: # DW_Español,0.0,2
This is what food expiration dates really mean.,0.0,2
IPN specialists applied treatment to 29 women in Mexico City who had HPV,0.0,2
"And the money contributed by people of good will, here?",0.4404,3
They are frozen but still alive!,0.5707,3
He commented that the money to build roads must be given to the people and not to the contractors.,0.0,2
Absent Dad: It was easy for him not to pass the pension to his daughters for two years; now you must pay 176 thousand 70 pesos,0.3612,3
Game of Thrones' wolf worms do exist!,0.0,2
"# HechoEnMéxico A group of young Mexicans worried about the planet had an idea that seemed impossible. How to produce something with the sargassum that arrives in the Caribbean? It took them time to learn how to take advantage of this macroalgae, but they managed to make shoes.",-0.0258,2
Jason Momoa shaved his beard after 7 years of not doing so,0.0,2
At least 24 states in the country were affected by a shortage of doctors and medications due to reduced internship support.,0.0258,2
"Despite attempts to persuade, the woman throws herself on a bridge with her son in her arms.",0.0,2
This is how Alfredo Adame reacts after the aggression of Carlos Trejo! #SaleElSol,-0.3595,1
"It was easy for this young woman to throw her friend into the water to take away her fear, but today she faces justice for the damage she caused",0.3071,3
They don't know the athlete who just let go,0.0,2
"Little Angel Moshe, 7 years old, was crowned in China world champion of mental calculation",0.5994,3
Visiting the El Chaparro Schwarzenegger Debate,0.0,2
"# LoMásVisto #EXCLUSIVE This was the moment when Veronica fled from her boyfriend who tried to kill her, after the relationship ended. This the young woman told us:",-0.6908,1
Think twice,0.0,2
"Not only is he an impressive actor, Keanu Reeves is also a person with a huge heart.",0.6808,3
"Today turns 56 a metal legend, James Hetfield; Metallica vocalist and guitarist",0.0,2
"OMG !! Snoopy, is that you?",0.0,2
"MEXICAN PRIDE! With the “Poliplástik” project, two young men from Hidalgo put up the name of our country at the 2019 International Science and Engineering Fair in Arizona.",0.6932,3
"We will have a fifth delivery, better lock you up at home in case of Purge.",0.4404,3
They say they are the most abruptly repressed identity ...,-0.3774,1
"See you soon, Edith González",0.0,2
"Congratulations! Mexican boy wins a silver medal at the Mathematics Olympiad and celebrates it with laughter, flowers and cake.",0.9577,3
"A few days ago this Arab philanthropist businessman built a house for the boy who studied under public lighting because he had no light in his house. Now, he is in Mexico City to support small Mexicans from an orphanage.",0.128,3
#MilenioAlMomento | No ruler on Earth has been able to solve problems of any nature and much less of this gravity with antics. The opinion of Diego Fernández de Cevallos,-0.4767,1
"37 years after his death, we celebrated Juan OGorman, one of the creative geniuses who changed art, design and architecture in Mexico in the twentieth century:",0.4019,3
"The assault attempt took place in the Glorieta de Bosques, in the west of the capital of the country.",-0.5859,1
In the last hours only China and India have registered worse air quality than Mexico,-0.4767,1
"A falling Dimas, a past Christ of cups, a demonic possession ... so were the follies of Holy Week in Mexico.",-0.1531,1
"A video captured by a drone, allows us to see the abandonment of the city. More videos:",-0.5267,1
Of those truths that hurt.,-0.1531,1
Another reason to quit? Only one cigarette butt can contaminate up to 50 liters of water,0.0,2
The criminal threatened his bakery with his gun.,-0.8316,1
The story with #AzucenaXMILENIO,0.0,2
Huachicoleros run out of fuel; They say it's not business anymore. ” Now they look for LP # ExpresoDeLaMañana gas,0.0,2
"This is not a drill, Batman will shine!",0.0,2
# Find out how they stole fuel from the clandestine outlet in Tlahuelilpan Hidalgo,0.0,2
Diego Fernández de Cevallos The #JefeDiego with #AzucenaxMILENIO tells us about the President and why he decided to baptize him as GodManuel,0.0,2
"By official provision it will be mandatory for companies, regardless of their size, to protect the mental health of workers.",0.4404,3
The series will be based on the novel by Gabriel García Márquez,0.3182,3
"It is a very old technique, very thin fibers are collected in bundles and this is how handicrafts are made with popotillo",0.0,2
This is how the Angel of Independence looks after the march against gender violence.,-0.6249,1
There is still hope in humanity,0.4404,3
#SLP | They will be fined up to 33 thousand pesos to those who abandon their pet. It is part of the new sanctions approved in the Animal Protection Law. Find out:,-0.0258,2
UNAM does it again!,0.0,2
"Have you been told that feminists before were serious, orderly and caused no fuss? The feminists of before also made pints, also burned things, were also arrested. The feminists of before were like those of now. # 8M # 8demarzo2019 #DiaDeLaMujer # 8M2019",-0.4767,1
After 30 years they discover that a judge had exercised with false ID cards. The BUAP confirmed that they have no qualification records under their name.,-0.296,1
# How is it done? with Alicia Gutiérrez. From the sacred tree of the Maya the raw material is obtained to give life to true works of art.,0.4215,3
"Sit down, ma'am! Xóchitl Gálvez showed a kit that (according to her) could have prevented the inhabitants of Tlahuelilpan, Hidalgo, from approaching the pipeline that exploded last Friday ...",0.1007,3
Members of the Eighth Military Region based in Oaxaca joined one of the most beautiful celebrations in Mexico: the Guelaguetza. Wake up with Loret,0.6361,3
#Nationals | Lobo escapes from the zoo and they find him hours later playing with some dogs. Click here:,0.3182,3
"From 2014 to May 2019, 2,893 women were reported missing in Puebla",-0.296,1
Hold on; the cold is gone but the heat will be unbeatable,0.0,2
A crack!,0.0,2
It's for your sake,0.0,2
Actress Yalitza Aparicio took her mom to the #Oscars awards and so they walked through the #RedCarpet,0.4588,3
Creating a character like the King of the Night is not an easy task ...,0.3169,3
It depends entirely on the X chromosome given by women,0.0,2
"Marzipan, the street puppy that became famous for dancing at the traditional parties of #Oaxaca, receives an elegant guayabera to attend the # Guelaguetza2019.",0.7003,3
"We do not agree with the thermoelectric, we are students bit.ly/2V99MRk",-0.2755,1
The dawn of this Friday was announced the death of actress Christian Bach at 59 years of age.,-0.5994,1
Huawei is ready for any changes,0.3612,3
Surprising! There is no money for breast cancer care in public hospitals in the country. The situation is serious:,-0.4389,1
"It looks like a small photo for your cell phone, but it is a great leap for humanity. More videos:",0.8126,3
Get ready; this spring the high temperatures will make their own,0.3612,3
"#Viral | This image has been called “the photo of the century” because it portrays the moment in which “nature defeats technology”. An image that puts into perspective the power of nature over the power that humanity believes it has, because it is the holder of technology. How about? More news:",-0.3182,1
The police themselves prevented leaders from gangs operating in the subway.,0.0258,2
I need one of these! ... Or maybe about seven.,0.0,2
Say goodbye to the diet ...,0.0,2
Mayor of #Sinaloa tells a girl that she has horrible obesity,-0.5423,1
The gymnast LOVED the world with her incredible steps and a musical taste that ANYONE asks ANYONE,0.6841,3
I have the great joy of knowing all the municipalities of Oaxaca: AMLO The president highlighted the beauty of the state and its cultural wealth.,0.9423,3
"Men and women, let's calm down",0.3182,3
The one-month-old baby was snatched away with violence from his mother's arms,-0.6249,1
The ex-sailor could not stand that his assailant had forgotten the damage he did to him.,-0.6249,1
"Norberto arrived at the CDMX to study the university, but 2 days before graduating he was a victim of the kidnappers. This is his story:",-0.3919,1
"This is the moment when armed men attacked police officers in Irapuato #Guanajuato, the attack lasted 20 seconds.",-0.7269,1
"On Point: This weekend 218 official vehicles were auctioned that were under the mandate of the Presidency of the Republic between 2001 and 2018. Two of these cars were offered to AMLO. #EnPunto with Denise Maerker, watch the full program,",0.0,2
"I always believed that the greatest treasure of the human species is its diversity: something that makes us grow, not something to fear or despise. We must be vigilant, and be aware of when we treat other human beings as less human. ”",0.8758,3
If you want to continue spending on glasses it is because you want ...,0.1531,3
"As true celebrities, the winners of the Mathematics tournament held in the Dominican Republic were received. They are young people supported by Guillermo del Toro and now the goal is in an international competition",0.802,3
Goodbye to photomults!,0.0,2
"The man wore jeans, a long-sleeved plaid shirt, a cap and a black wig with long hair.",0.0,2
A genius of a young Mexican,0.0,2
The encephalitis outbreak would be linked to a toxic substance found in lychees.,0.0,2
"Disturbed, out of control and even unconscious in the emergency department of a hospital. Thus many young people who were seduced by a drink with a high percentage of alcohol, but with ingredients that inhibit their drunkenness have ended.",-0.775,1
"47.6% of the children in the rooms do not appear, the Ministry of Welfare has only been able to verify the existence of 174 thousand minors of the 329 thousand who are in the registry of children's stays.",0.0,2
"The epidemic is linked to a fruit that occurs in abundance in the eastern state of Bihar, where most deaths have occurred",0.0,2
Norberto Ronquillo appeared in an ISSSTE video to help his family with the tuition; He was kidnapped and killed 2 days before graduating,-0.4215,1
"After a trailer dropped boxes with cookies, people approached and surprisingly helped return the product to the vehicle. That's right, there was NO prey. It happened in #Ixtlahuaca, #EdoMex.",-0.186,1
"Our # RifadoDelDía is Jonathan Cristian Sánchez, a young man who raffled his voice to get to #NASA and present a project that won second place among 45 students from different countries.",0.5719,3
This Mexican restaurant in New York serves a piñata for dessert,0.0,2
And they found her in a Mexican cenote.,0.0,2
"A dog frustrates the assault on a gasoline dispatcher in Madero, Tamaulipas #LasNoticiasConDanielle with Danielle Dithurbide",-0.7717,1
"Girl recites poem against the huachicol and goes viral ... What I assure you, woke up the entire Mexico, the theft of hydrocarbons, huachicoleros will die, said the little girl.",-0.3612,1
"Grandparents ask for simple items to rejoice in life; However, what they need most is the love of their visitors",0.8107,3
"Suzy's brilliant career ended when she signed with an Italian modeling agency, which resulted in a prostitution network",0.5859,3
"Less cars, less gasoline, clean air.",0.3446,3
"Right in front of the house of The rebel of the accordion on the Cerro de la Campana, relatives were surrounded by thousands of followers, singing How the Wind.",-0.1531,1
"#Video Meet the #mexicona Alondra de la Parra, the first conductor of a symphony orchestra in Australia.",0.0,2
"After these hormones are released, cortisol levels (known as the stress hormone) are considerably reduced, which causes weight loss.",-0.6249,1
Save the date!,0.5411,3
Not everyone likes to hear the truth,-0.0083,2
The leader of the Pemex union was scared.,-0.4404,1
"The Yucatecan archerist decided to take to the streets, after Conade notified him that he would not have the financial support.",0.4019,3
#Internationals | Barack and Michelle Obama about to divorce after 27 years of marriage Find out! bit.ly/2YBM6q8,0.0,2
Did you know that the plane of the world that you have known all your life is not correct? The world is not as they draw it. #PorSiNoLoViste,0.0,2
Why go to a beach flooded with people when there are many other beautiful and empty places?,0.4767,3
The reality of the exhausted generation,-0.3612,1
Meet Negrita! She is a dog that lived on the street and got a job at a gas station in #Ixtapaluca.,0.0,2
Keanu Reeves is more than your average Hollywood celebrity.,0.0,2
La Casa de Papel season 4 is a reality!,0.0,2
"Sit down, ma'am! Xóchitl Gálvez showed a kit that (according to her) could have prevented the inhabitants of Tlahuelilpan, Hidalgo, from approaching the pipeline that exploded last Friday ...",0.1007,3
"The governor of Veracruz said that this was due to the #EfectoCucaracha, for the fight against crime in Coatzacoalcos.",-0.7269,1
This action adds to the strategies of the #HidalgoTerritorioPetfriendly campaign to prevent animal abuse in the entity.,-0.6249,1
On Point: Members of the National Guard toured alleys and walkers of Iztapalapa where the Police #EnPunto with Denise Maerker did not enter Watch the full program,0.0,2
Advance your clock one hour on Saturday night April 6 before going to sleep,0.0,2
Any biblical apocalypse would fall short of reality.,0.0,2
"I need a madman, of those who no longer exist. Someone to hold me and never want to let go",-0.3447,1
The return of the black bear to the Biosphere Reserve of Sierra Gorda Querétaro; a species of which there was no record since about 100 years.,-0.296,1
The lifeless body of student Norberto Ronquillo is located in Xochimilco,0.0,2
"# Command Chain | They don't exercise, they get blowjobs; They are not handsome, they are lining; they are not fools, they are foxes; They are the ones who know the people best. This is Chain of Command in MILLENNIUM with Juan Ibarrola",0.6369,3
It was believed that this specimen was extinct but there is good news,0.5927,3
"Francisco Ventura, the boy who went viral for his great academic aptitude and for working as a bricklayer, was awarded a scholarship by a private university so that he can realize his dream of becoming an architect #EnPunto with Denise Maerker",0.8316,3
In the sky now the cumbia sounds. See you soon Celso Piña! The rebel of the accordion.,-0.2244,1
"That is going to be reviewed, we have to support people, we have to create an environment of prosperity, of progress, of hope, ”said the president during his morning conference.",0.8591,3
Keanu Reeves is not your average Hollywood celebrity. Were also on YouTube,0.0,2
Any biblical apocalypse would fall short of reality.,0.0,2
#Nationals | Pit bull dies after being attacked by children with a rocket in Jalisco. Here the story:,-0.4588,1
"Mexico, world power in international competitions of mathematics, physics, chemistry, mental calculation ... and more! #Mexican pride",0.4534,3
"The commercialization, distribution and delivery of plastic bags to the consumer will be prohibited",0.0,2
"Those fists are considered white weapons, they gave him a shot and now he comes back for revenge",-0.743,1
Daniel Habif did not save anything and dropped a powerful bomb against Nicolás Maduro in the #VenezuelaAidLive The Mexican moved all the attendees to tears with his words,-0.6031,1
They want to see our face.,0.0772,3
"If the water level continues to rise, our country will cease to be as we know it.",0.0,2
# LoMásRead And that's why we don't have anything nice ...,-0.3252,1
"With 10 years, 2 months and 12 days of age, #Frida, the most famous search and rescue dog in Mexico, retires. Via DiegoBorbollaTV",0.5106,3
A man did his good work of the year! paid 70 hotel rooms for a week so that homeless people could take refuge from frost in #Chicago,0.4926,3
"The Mexican who became a football legend, a historic Real Madrid scorer, Hugo Sánchez, a Chilean teacher, turns 61",0.0,2
21 year old disappears after boarding a taxi.,-0.34,1
"Giselle Garrido Cruz, an 11-year-old girl, disappeared while waiting for her dad at the truck stop. In # Chimalhuacán, #Edomex, a whole campaign has begun to find it",-0.4767,1
"This was stated by Cardinal Giovanni Battista, although abortion in Brazil is allowed in cases of rape. Via: Collective Culture News",-0.6908,1
These huge hailstones wreaked havoc in Italy,-0.3818,1
#Toros #HildaTenorio The Mexican matador ended up with serious facial injuries during a run at the Puebla Fair.,0.25,3
Congratulations! to Yahel Castillo and Juan Celaya who achieved gold in the 3-meter synchronized trampoline in Pan-American 2019,0.636,3
"Marc Bartra, the former Barcelona had a great size with the Queretana fans, he had the time to fulfill the dream of a small at the end of the game, great player on and off the court Yarhim Jiménez",0.9201,3
The wonderful joy of a monkey fight with a knife,0.7096,3
Health!,0.0,2
"Thanks to the complaints, authorities identified the modus operandi of women aggressors operating in the immediate vicinity of Metro stations",-0.1779,1
"If you have information on any of the children presented along this note, you can help them return with their families by sharing and providing information.",0.6705,3
A puppy was detained for 13 hours in the Torito for playing in a fountain in a park In addition an officer threatened to detonate the dog as he kept looking at him and posed a threat All information with Héctor Zamarrón for # ZamarrónEnMILENIO,-0.8074,1
Did any of you say Beetlejuice three times? Because it will appear in theaters,0.0,2
Goodbye Chimuelo,0.0,2
The sun will rise from 6,0.0,2
"Now you can leave, the funny parody of SUPER JUNIOR to Luis Miguel",0.8091,3
"Now you can leave, the funny parody of SUPER JUNIOR to Luis Miguel",0.8091,3
Francisco seeks to tattoo more people to pay for Naydelin's operation.,-0.1689,1
"Amber Alert activated to locate Santiago Aquiahuatl Fernández, 3 years old, was last seen in the company of his paternal grandmother in Apatlaco Avenue, Carlos Zapata neighborhood, Iztacalco mayor's office",0.296,3
LP confessed to us how it was the first time his heart was broken ...,-0.4767,1
This deserves great reflection.,0.6249,3
"#SLP | Person who aggregates animals will not have the opportunity to walk in the street, will have to pay with jail, will not be able to pay with fine",-0.3252,1
What are the authorities doing to prevent these crimes; How will they guarantee the safety of women traveling in the Metro?,0.5994,3
Some homes were damaged and several cars were stranded between blocks of ice.,-0.5859,1
"And so, the ashes consumed more than 800 years of history. Via Collective Culture News",0.0,2
"A wedding in #Veracruz, became a musical megaconcert of the Los Acosta musical group where more than 15 thousand people attended ... the rice, beans and soft drinks did not reach!",-0.0941,1
"Hot? Doña Lalita tells us how the flavored snows are made in Santiago Tulyehualco, Xochimilco",0.0,2
"The colony was, until recently, the second largest emperor penguin in the world.",0.0,2
What a good heart!,0.4926,3
#MundoAnimal #Viral A cute video circulating on social networks shows the moment when a street puppy arrives at a veterinary establishment to ask for help for his injured little leg.,0.4588,3
"Where are those who accompanied Peña Nieto for 6 years, now that #RosarioRobles is in jail?",0.0,2
REPORT | Cars are underwater by extreme rain in #Monterrey; thus the overpass Fidel Velázquez was flooded,0.0,2
Who say I?!,0.0,2
"The athlete from the state of Michoacán won the gold medal by registering a time of 22 minutes, 14 seconds and 766 thousandths, followed by the Hungarian Balazs Adolf and the German Yul Oeltze.",0.7783,3
#AlertaAmber Sharing takes less than a minute.,0.4215,3
WTF !?,-0.7027,1
"I need a madman, of those who no longer exist. Someone to hold me and never want to let go",-0.3447,1
Creamy and delicious.,0.5719,3
"Thank you, humans!",0.4199,3
Let's go from Green Indians to Aztec City.,0.0,2
"Happy 57th birthday to one of the best athletes in Mexico, Julio César Chávez; the first Mexican boxer with three world titles in the same number of divisions",0.8481,3
Deputy sits on his lap to his wife during session,0.0,2
